,server_round,acc_centralized,acc_distributed,losses_centralized,losses_distributed
0,1,0.1002,0.026200873362445413,4.052179060164531,4.278110024189845
1,2,0.1,0.10683760683760683,3.3000337136019566,3.010399637059269
2,3,0.1355,0.16423357664233576,3.3683622384526926,3.078864312084922
3,4,0.1,0.12903225806451613,3.6139735401056376,3.4193381494091404
4,5,0.1015,0.11206896551724138,3.4013643036982057,3.1429827932653756
5,6,0.1,0.11507936507936507,3.269546317446763,3.5355407851082936
6,7,0.1,0.007722007722007722,2.97372307595174,2.8213942686103026
7,8,0.1,0.06140350877192982,2.843016472591716,2.7970767941391257
8,9,0.1,0.17959183673469387,3.5037480008070636,3.084288009332151
9,10,0.1124,0.13157894736842105,3.2076422454445224,2.9252352149862992
10,11,0.1,0.03862660944206009,3.157666376441907,3.344687968364601
11,12,0.1,0.05555555555555555,2.840224744407994,2.573567095924826
12,13,0.1,0.07916666666666666,2.6063109719829196,2.624086215098699
13,14,0.1,0.0873015873015873,3.5672365024590946,3.4682305653889975
14,15,0.118,0.09012875536480687,2.602962050468299,2.850492382254212
15,16,0.1,0.12260536398467432,2.5679740207210466,2.625223924373758
16,17,0.1,0.1067193675889328,2.809630743257559,2.655711104276152
17,18,0.1,0.13513513513513514,2.7408209181135628,2.612822800069242
18,19,0.1254,0.10317460317460317,2.7136549843344717,2.825201334934386
19,20,0.1,0.10810810810810811,2.792511769920398,2.7581531700787245
20,21,0.1,0.18181818181818182,2.572736781114226,2.501387493669494
21,22,0.1,0.11065573770491803,2.4943439170813106,2.4622557729971213
22,23,0.1,0.06097560975609756,2.475406499425317,2.5299663378940367
23,24,0.1,0.08520179372197309,2.5601329423819377,2.562870255500212
24,25,0.1,0.12992125984251968,2.422088604823799,2.358328082430081
25,26,0.1504,0.19444444444444445,2.449528978129101,2.3552552842431598
26,27,0.1551,0.25296442687747034,2.3690338787759186,2.1231573480862402
27,28,0.0965,0.10756972111553785,2.630868724956634,2.9290690735516796
28,29,0.1146,0.07468879668049792,2.472936514836208,2.453182801171457
29,30,0.1275,0.06796116504854369,2.3414359016782917,2.5132569722758915
30,31,0.1364,0.14553990610328638,2.346590959342422,2.2716411424914438
31,32,0.1693,0.20833333333333334,2.364146179454342,2.2660145643684597
32,33,0.1422,0.11764705882352941,2.3243611147449275,2.3555915139918953
33,34,0.1474,0.1598360655737705,2.4833646944374035,2.3620189340388187
34,35,0.1143,0.16203703703703703,2.3298040544910794,2.4452779171643435
35,36,0.143,0.12048192771084337,2.382346973297702,2.4924511287107047
36,37,0.1556,0.112,2.2447646909458623,2.3263438777923584
37,38,0.1752,0.1590909090909091,2.312904204532599,2.323071913285689
38,39,0.1391,0.13852813852813853,2.393768905834028,2.50377707667165
39,40,0.1388,0.16597510373443983,2.1990570999254846,2.2261932954748636
40,41,0.1253,0.1703056768558952,2.441602523159829,2.2396901372218236
41,42,0.1869,0.11743772241992882,2.2212685445311724,2.234253401858102
42,43,0.1328,0.043795620437956206,2.291560983961555,2.4974092732380777
43,44,0.1416,0.20833333333333334,2.216301267314109,2.1520511447279542
44,45,0.1738,0.16326530612244897,2.1116877103307443,2.1447873665361987
45,46,0.1466,0.21145374449339208,2.40345844949127,2.103578209877014
46,47,0.1445,0.11392405063291139,2.3011729352793115,2.4607424907040496
47,48,0.1,0.11659192825112108,2.5935256374869375,2.3743059913139173
48,49,0.1702,0.13257575757575757,2.221436962200578,2.366204245523973
49,50,0.166,0.23076923076923078,2.2629507309312276,2.2009718713597355
50,51,0.1788,0.14615384615384616,2.193353244453479,2.121754887470832
51,52,0.1755,0.2134387351778656,2.2112514486738073,2.1636345386505127
52,53,0.208,0.15979381443298968,2.172706198540463,2.1608874097312847
53,54,0.2066,0.2518248175182482,2.1570101072833796,2.1548832028451628
54,55,0.1419,0.1836734693877551,2.3109304327873668,2.282219024580352
55,56,0.1802,0.11857707509881422,2.275836962803154,2.2936390694893394
56,57,0.1775,0.12955465587044535,2.1411539042831227,2.283769761019873
57,58,0.1319,0.2782258064516129,2.414842101419048,2.1463219379225085
58,59,0.1603,0.1969111969111969,2.161116289485032,2.233155410722416
59,60,0.1725,0.14096916299559473,2.3001308418383264,2.323447213298949
60,61,0.2119,0.13733905579399142,2.0571413548888673,2.2032933670052133
61,62,0.186,0.20754716981132076,2.1548664023162454,2.1243381923099736
62,63,0.1962,0.182648401826484,2.086315877118688,2.145269888176766
63,64,0.1645,0.1615720524017467,2.222524398451398,2.1594545102015332
64,65,0.1554,0.19148936170212766,2.223437725358708,2.333302378147206
65,66,0.159,0.13257575757575757,2.3594149723174467,2.2899812283841046
66,67,0.1834,0.22058823529411764,2.085880535423376,2.0872379804358765
67,68,0.1651,0.07692307692307693,2.42742699878231,2.4191925488985504
68,69,0.1522,0.18081180811808117,2.1664252660836385,2.1923974264151935
69,70,0.1657,0.06756756756756757,2.3261879021954384,2.2894025783281067
70,71,0.1885,0.2222222222222222,2.1666814445689986,2.090069024651139
71,72,0.1995,0.14979757085020243,2.0820926936568727,2.1597188658077227
72,73,0.158,0.1016949152542373,2.2046515888469234,2.246405500476643
73,74,0.1949,0.16289592760180996,2.0692670390864087,2.205310030760269
74,75,0.1993,0.18726591760299627,2.208225919182893,2.06223943885346
75,76,0.1888,0.23371647509578544,2.174788919983396,2.218146307258314
76,77,0.209,0.18861209964412812,2.15700558568262,2.11354754064431
77,78,0.2211,0.24302788844621515,2.152863822924863,2.044389862463294
78,79,0.2089,0.1947565543071161,2.0437421806299003,1.992507928766115
79,80,0.2129,0.14285714285714285,2.1978901913211604,2.3430730641952584
80,81,0.1719,0.19583333333333333,2.15421223184865,2.0030397812525433
81,82,0.1794,0.16319444444444445,2.1653141618534257,2.1910032770699925
82,83,0.1835,0.11734693877551021,2.10830030319797,2.3340897462805925
83,84,0.1867,0.17669172932330826,2.221209567063933,2.156437959886135
84,85,0.2342,0.2589641434262948,1.9850385955944183,1.981319284059137
85,86,0.1675,0.22265625,2.1877284611865973,2.0557786258868873
86,87,0.1868,0.2610619469026549,2.091975445200683,2.0122288607918057
87,88,0.1822,0.2099236641221374,2.29473024416881,2.1546419403935206
88,89,0.1637,0.14522821576763487,2.3034949773436137,2.4935651250894635
89,90,0.1753,0.1912751677852349,2.254737887412879,2.1429573073483152
90,91,0.1961,0.1422924901185771,2.11531461727847,2.207592466603155
91,92,0.2168,0.22727272727272727,2.1932802177538537,2.1220463145862927
92,93,0.196,0.21982758620689655,2.096394308053764,2.162399354679831
93,94,0.196,0.3025210084033613,2.115113354032966,1.9303502029731494
94,95,0.217,0.13761467889908258,2.0578902914265917,2.1610624976114394
95,96,0.1917,0.22916666666666666,2.2318136980579157,2.10868023087581
96,97,0.238,0.22456140350877193,1.9755991887135111,2.0259055581009178
97,98,0.2058,0.15671641791044777,2.2323159632409455,2.290290198219356
98,99,0.1913,0.23770491803278687,2.0289538210364664,2.049192407580673
99,100,0.2008,0.15040650406504066,2.1020264678699956,2.2422151366869607
100,101,0.1863,0.17037037037037037,2.0471731090241936,2.0729255124374673
101,102,0.1473,0.1541501976284585,2.283390343568887,2.169888731048041
102,103,0.199,0.12267657992565056,2.067620171862803,2.157198217721677
103,104,0.1938,0.21951219512195122,2.1907414653498654,2.1100618907106603
104,105,0.2089,0.15447154471544716,2.0050087309187385,2.136447174762323
105,106,0.2014,0.15492957746478872,2.162761520428263,2.4164513433483283
106,107,0.1303,0.12653061224489795,2.5883057588224956,2.4768445929702447
107,108,0.2511,0.27165354330708663,2.053451612496832,1.996581749183925
108,109,0.1902,0.2171945701357466,2.263948135315233,2.0864437214389646
109,110,0.2419,0.2024793388429752,1.9885588421183786,1.9842244652677175
110,111,0.2624,0.2938775510204082,1.9748540570022195,1.9812043910123864
111,112,0.186,0.2198581560283688,2.091766585969621,1.9743221545895786
112,113,0.2287,0.22083333333333333,2.0875926215177887,2.042880168557167
113,114,0.2505,0.19597989949748743,1.9358309575706532,2.072237627590122
114,115,0.2049,0.27230046948356806,2.090362154754104,2.0320068653760384
115,116,0.2754,0.23170731707317074,1.9650088768855782,2.0239282914293493
116,117,0.2403,0.24154589371980675,1.974776877719126,2.023705443898261
117,118,0.2218,0.29069767441860467,2.0619108046695684,1.9254102882488753
118,119,0.2532,0.2056451612903226,1.978291031661307,2.109716885512875
119,120,0.203,0.2509505703422053,2.0459424075047683,1.980948115482983
120,121,0.2578,0.2339622641509434,1.9350507282147742,2.037994614637123
121,122,0.2286,0.28113879003558717,2.139473155045965,2.007011539571226
122,123,0.2107,0.17105263157894737,2.007278191815516,2.116473621966546
123,124,0.2075,0.21138211382113822,2.130267169065536,2.030279270032557
124,125,0.2071,0.19330855018587362,2.0429992151867813,2.118883147115601
125,126,0.2284,0.2915129151291513,2.062128553724593,1.9836302023532206
126,127,0.1611,0.18907563025210083,2.116372547331889,2.208789905580152
127,128,0.2442,0.17721518987341772,1.9645563872756473,2.0981357137865153
128,129,0.2812,0.20614035087719298,1.8896431338255573,2.0257444256230404
129,130,0.2443,0.3020408163265306,2.16788356699002,1.9731993830933863
130,131,0.2787,0.2608695652173913,1.9588964334718741,2.1815622870629956
131,132,0.2189,0.26506024096385544,2.0758145812210764,2.0403293155762086
132,133,0.216,0.15637860082304528,2.0678077237621233,2.2376604497187422
